5	-1.8294196591306953	0.4022525804852488	15.62
24	-3.2661430564508773	1.9308123863291944	3.2541666666666664
30	-3.1630758917988495	2.413515482911493	2.603333333333333
34	-3.2001348948047847	2.735317547299692	2.2970588235294116
40	-3.2306401780242044	3.2180206438819905	1.9525
49	-3.154638805509689	3.9420752887554382	1.5938775510204082
53	-3.205006543646222	4.263877353143638	1.4735849056603771
62	-3.213181746829198	4.9879319980170855	1.2596774193548386
68	-3.238553835422492	5.470635094599384	1.1485294117647058
71	-3.2197412267238823	5.711986642890533	1.0999999999999999
75	-3.2461987033749216	6.033788707278732	1.0413333333333334
79	-3.26767522146805	6.3555907716669315	0.9886075949367088
86	-3.2758728131041526	6.9187443843462795	0.9081395348837209
92	-3.3250741077475054	7.401447480928578	0.8489130434782609
103	-3.353108558036498	8.286403157996125	0.7582524271844661
109	-3.3775445196866998	8.769106254578423	0.7165137614678899
114	-3.3990629768064804	9.171358835063673	0.6850877192982456
123	-3.420614430488312	9.89541347993712	0.6349593495934959
