timestep	potential_energy	kinetic_energy	temperature	time
0	68633.92152	6018.500813	1.003334302	0.053114
100	68758.64576	5983.41638	0.9974854348	1.098396
200	68618.43303	6014.023711	1.002587932	1.701619
300	68496.50821	5939.00259	0.9900812853	2.28833
400	68551.31475	5966.343033	0.9946391653	2.880516
500	68655.64323	6170.451472	1.028665745	3.463321
600	68636.67551	6050.880028	1.008732188	4.047923
700	68676.19449	6091.161811	1.015447497	4.642482
800	68705.20533	6054.526488	1.009340083	5.286445
900	68607.62269	6115.440406	1.019494941	6.009767
1000	68611.35359	5911.940718	0.9855698455	6.673158
1100	68599.45037	5954.374547	0.9926439188	7.263861
1200	68744.85485	5876.498844	0.9796613893	7.841335
1300	68725.05723	6017.384459	1.003148197	8.420705
1400	68766.27193	6111.565545	1.01884897	9.004033
1500	68673.30484	5996.376335	0.9996459674	9.590597
1600	68738.24503	6000.029689	1.000255012	10.16763
1700	68563.85684	5954.574954	0.9926773283	10.743635
1800	68715.2256	5924.039493	0.9875868123	11.318656
1900	68682.74953	5956.30866	0.9929663516	11.892746
2000	68550.46278	5994.055704	0.9992590987	12.468208
2100	68752.90207	6038.774682	1.006714126	13.043776
2200	68584.53729	5966.353001	0.9946408271	13.621669
2300	68539.3947	5801.987005	0.967239644	14.204256
2400	68559.0062	5944.826519	0.9910521829	14.780716
2500	68638.49769	5987.232214	0.9981215661	15.36086
2600	68502.59688	6059.43158	1.010157803	15.920757
2700	68666.16141	6050.827317	1.0087234	16.49653
2800	68553.11485	5930.32969	0.9886354405	17.070347
2900	68600.99412	5809.879739	0.9685554287	17.643799
3000	68575.65127	5910.918094	0.9853993655	18.21654
3100	68511.0923	6128.193458	1.021620982	18.793895
3200	68581.96973	6146.63756	1.024695767	19.352886
3300	68454.18383	6025.015156	1.004420298	19.931355
3400	68587.73158	6089.98365	1.015251088	20.511003
3500	68701.84963	6032.436051	1.005657423	21.071424
3600	68550.54435	5996.237752	0.9996228644	21.648011
3700	68737.24253	5975.417717	0.9961519909	22.222312
3800	68456.62525	6050.965297	1.008746403	22.795563
3900	68671.58327	6047.0651	1.008096207	23.370305
4000	68735.04549	5967.894508	0.9948978092	23.943258
4100	68679.93046	6026.12246	1.004604895	24.520923
4200	68539.09177	5886.169848	0.9812736263	25.095608
4300	68581.4276	5959.895385	0.9935642885	25.671816
4400	68545.93092	6043.969449	1.007580137	26.247447
4500	68618.01961	5984.216537	0.9976188275	26.817429
4600	68701.95979	5933.642654	0.9891877393	27.391757
4700	68603.97134	6044.669144	1.007696782	27.966809
4800	68611.52821	5903.56378	0.9841733399	28.539869
4900	68509.97662	5802.625487	0.9673460843	29.113935
5000	68657.6933	5915.659385	0.9861897782	29.688325
5100	68598.90355	6145.300567	1.024472879	30.330819
5200	68622.90149	6188.94039	1.031748002	30.954272
5300	68672.30089	5915.717249	0.9861994248	31.766118
5400	68606.18499	6073.559413	1.01251303	32.390165
5500	68527.64579	5897.221204	0.9831159797	32.976807
5600	68612.01477	5976.257476	0.9962919856	33.550892
5700	68554.16251	6040.095527	1.006934321	34.124481
5800	68543.95619	5939.621668	0.9901844907	34.701301
5900	68706.34995	5950.371291	0.9919765427	35.276012
6000	68581.29814	6062.437848	1.010658973	35.858061
6100	68660.09625	6050.385422	1.008649733	36.448829
6200	68498.33943	6027.960042	1.004911235	37.027115
6300	68601.87065	5943.108498	0.9907657745	37.601685
6400	68505.68959	5951.683211	0.9921952507	38.174049
6500	68464.69934	6027.957455	1.004910804	38.751141
6600	68641.20915	5835.258517	0.9727862828	39.325832
6700	68503.49136	6070.327252	1.011974202	39.899808
6800	68549.81288	5911.920472	0.9855664703	40.485066
6900	68436.34086	6028.696526	1.005034013	41.062741
7000	68567.42764	5952.984758	0.9924122294	41.639572
7100	68662.58061	5873.124137	0.9790987975	42.201185
7200	68685.24818	6018.835115	1.003390033	42.778352
7300	68604.57093	6108.205274	1.018288785	43.352048
7400	68696.33002	5895.415888	0.9828150185	43.934015
7500	68589.04616	5891.76557	0.98220648	44.51189
7600	68576.54912	5908.456667	0.984989025	45.088428
7700	68623.91917	5986.358173	0.9979758562	45.652004
7800	68617.61788	5963.541774	0.9941721721	46.226486
7900	68643.44627	5968.407921	0.9949833994	46.812967
8000	68519.19842	5997.289609	0.9997982177	47.394094
8100	68681.6745	5948.297381	0.9916308046	47.971841
8200	68647.02911	5993.61023	0.9991848346	48.549933
8300	68554.54864	6054.898003	1.009402018	49.132775
8400	68603.04693	5900.514208	0.9836649509	49.709152
8500	68590.09228	6016.30176	1.002967702	50.28905
8600	68737.71466	5843.565069	0.9741710543	50.859536
8700	68618.28864	6078.090644	1.013268424	51.443644
8800	68629.03206	6131.519664	1.022175488	52.021405
8900	68521.02612	6021.825886	1.00388862	52.619708
9000	68576.32795	6061.319184	1.010472482	53.197042
9100	68489.58908	6226.267218	1.037970696	53.759155
9200	68585.17962	5980.116217	0.9969352699	54.319044
9300	68625.63166	6003.030709	1.000755307	54.896875
9400	68547.25199	5911.705579	0.9855306459	55.47159
9500	68606.11268	6005.826667	1.001221417	56.046721
9600	68418.02599	5944.869075	0.9910592772	56.624656
9700	68543.07401	5975.506606	0.9961668093	57.198517
9800	68623.84404	5883.319823	0.9807985034	57.786889
9900	68365.62821	5964.19111	0.9942804217	58.365097
