timestep	potential_energy	kinetic_energy	temperature	time
0	67472.22133	6018.500813	1.003334302	0.052691
100	67286.35648	5934.296694	0.9892967732	1.039248
200	67402.08686	5874.193773	0.9792771148	1.641333
300	67309.25246	6000.769426	1.000378332	2.221042
400	67457.73548	5913.924072	0.9859004871	2.803395
500	67272.96926	5950.415539	0.9919839192	3.377015
600	67196.0476	6066.422179	1.011323194	3.957257
700	67413.20147	6039.602979	1.00685221	4.519927
800	67277.12892	6020.666259	1.0036953	5.118097
900	67175.82373	5958.208555	0.99328308	5.838219
1000	67355.08744	6061.170168	1.01044764	6.440741
1100	67374.61067	6058.418552	1.009988923	7.023061
1200	67262.02302	5930.812671	0.9887159575	7.593788
1300	67270.46461	5950.627852	0.9920193135	8.172869
1400	67350.2507	6014.601949	1.002684329	8.746027
1500	67369.62403	5946.481713	0.9913281175	9.307518
1600	67284.45117	5935.496289	0.9894967557	9.881473
1700	67255.62333	6020.013718	1.003586516	10.460258
1800	67353.40499	6093.140222	1.015777315	11.03642
1900	67463.23276	6047.215722	1.008121317	11.609687
2000	67266.92081	5971.461416	0.9954924425	12.169911
2100	67373.45944	5837.230093	0.973114961	12.74615
2200	67322.64826	5978.289408	0.9966307256	13.318773
2300	67425.77859	5915.181708	0.9861101455	13.88851
2400	67213.79057	5968.767909	0.9950434123	14.463186
2500	67256.66007	5922.098897	0.9872632987	15.03959
2600	67259.59945	5882.400997	0.9806453275	15.616171
2700	67373.90891	5998.217441	0.999952895	16.190617
2800	67338.24056	5958.257045	0.9932911637	16.763456
2900	67239.13259	5971.856626	0.9955583273	17.339726
3000	67365.62599	6105.875403	1.017900376	17.913742
3100	67360.6543	6021.941829	1.003907949	18.503115
3200	67318.75926	5850.153727	0.9752694385	19.078957
3300	67119.99691	5928.406108	0.9883147634	19.653877
3400	67425.84129	5921.940066	0.9872368202	20.245165
3500	67244.2784	5973.714252	0.995868009	20.874791
3600	67294.19474	6066.520417	1.011339571	21.513545
3700	67186.23106	6131.800735	1.022222345	22.276323
3800	67248.34328	5869.725788	0.9785322645	22.851071
3900	67250.7649	5953.364743	0.9924755761	23.429602
4000	67114.26662	5947.584647	0.9915119859	24.00377
4100	67179.15097	5952.284829	0.9922955454	24.579822
4200	67273.22958	6038.303473	1.006635571	25.162397
4300	67262.47309	5856.435567	0.9763166737	25.739631
4400	67077.4741	6001.333041	1.000472292	26.324076
4500	67351.8478	5940.56002	0.9903409219	26.918168
4600	67276.00319	6140.192153	1.023621264	27.482251
4700	67314.94701	6014.944458	1.002741428	28.060513
4800	67255.62112	5937.976539	0.989910234	28.633505
4900	67253.80713	5988.788625	0.9983810327	29.210934
5000	67188.197	5923.818015	0.98754989	29.78751
5100	67272.13182	5962.872423	0.9940605856	30.369941
5200	67314.422	5978.230089	0.9966208368	30.949732
5300	67212.62092	5890.342533	0.9819692479	31.512701
5400	67148.86336	5989.167154	0.9984441368	32.091653
5500	67308.78908	5968.44634	0.9949898041	32.669562
5600	67207.67169	5958.05981	0.993258283	33.244492
5700	67293.50609	5948.047516	0.9915891499	33.820924
5800	67183.92189	6102.239826	1.017294295	34.39566
5900	67240.61766	6004.180465	1.000946981	34.971024
6000	67195.35624	5834.210095	0.9726115021	35.543266
6100	67260.55738	5979.408819	0.9968173408	36.120204
6200	67374.79824	6004.237153	1.000956431	36.692667
6300	67276.00831	5965.559973	0.9945086226	37.280239
6400	67254.28945	6076.645602	1.013027524	37.859318
6500	67336.757	6009.988874	1.001915291	38.43536
6600	67282.79838	6013.604122	1.002517983	39.010035
6700	67470.03617	6064.692009	1.01103476	39.57152
6800	67199.50061	5971.531665	0.9955041536	40.149944
6900	67278.98537	6138.564348	1.023349896	40.73256
7000	67310.30874	6046.587023	1.008016508	41.308387
7100	67369.39571	5980.140051	0.9969392433	41.887002
7200	67209.43052	6000.030794	1.000255196	42.471528
7300	67236.70676	5864.913588	0.9777300304	43.046704
7400	67369.74588	5916.975865	0.9864092465	43.62324
7500	67448.41522	5984.181571	0.9976129984	44.201155
7600	67299.06898	5979.207771	0.9967838245	44.774865
7700	67239.05255	5989.508839	0.9985010985	45.354914
7800	67262.67125	5912.85072	0.9857215504	45.915964
7900	67253.41458	5967.521688	0.994835657	46.497291
8000	67348.66971	5829.810875	0.9718781154	47.070948
8100	67282.5128	6002.145443	1.000607726	47.741886
8200	67263.92043	5923.320136	0.9874668895	48.326971
8300	67253.31366	5924.133072	0.9876024126	48.919381
8400	67229.99629	6046.479498	1.007998583	49.481338
8500	67197.9537	5979.524688	0.9968366572	50.061469
8600	67247.37223	5935.290259	0.9894624088	50.636781
8700	67146.47587	5937.647842	0.9898554375	51.214493
8800	67320.34692	6054.795922	1.009385	51.796544
8900	67158.83946	6039.754352	1.006877445	52.379743
9000	67193.60079	6032.773835	1.005713734	52.975047
9100	67190.24556	5990.681122	0.9986965278	53.558485
9200	67358.91533	6081.374891	1.013815936	54.134236
9300	67281.19902	5992.818068	0.9990527745	54.711553
9400	67340.71518	5929.466066	0.9884914673	55.285124
9500	67299.16218	5881.142868	0.9804355868	55.852016
9600	67379.16627	5769.506212	0.9618248249	56.437245
9700	67100.35264	5838.590427	0.9733417399	57.024646
9800	67384.37813	6072.460069	1.012329761	57.600239
9900	67352.39555	6131.713475	1.022207798	58.161088
