timestep	potential_energy	kinetic_energy	temperature	time
0	33578.64376	6018.500813	1.003334302	0.034518
100	30912.19575	5407.18149	0.9014222705	1.036728
200	32384.64287	5865.050084	0.9777527856	1.710455
300	32207.51271	5850.298447	0.9752935646	2.392953
400	32073.47098	6003.218272	1.000786575	3.051405
500	32214.74381	6184.342791	1.030981544	3.707771
600	32235.03629	6111.299649	1.018804643	4.372096
700	32194.80701	6002.477457	1.000663075	5.014973
800	32279.52443	5914.957668	0.9860727961	5.661501
900	32081.79426	5930.590319	0.9886788895	6.329717
1000	32080.94036	6055.529049	1.009507218	7.048936
1100	31933.02899	6116.557615	1.019681189	7.801297
1200	31865.52705	6056.905343	1.009736658	8.473236
1300	31810.3987	5903.423611	0.9841499727	9.130466
1400	31790.14934	6044.219671	1.007621851	9.785234
1500	31564.57355	6005.323263	1.001137495	10.505499
1600	31384.21571	6009.210202	1.00178548	11.166448
1700	31239.26409	5984.702516	0.9976998443	11.818188
1800	30949.01363	5951.289673	0.9921296446	12.47247
1900	31058.08458	6039.985766	1.006916023	13.127643
2000	31008.45405	6005.571505	1.001178879	13.777678
2100	31109.07701	5974.418624	0.9959854337	14.420899
2200	31201.99816	6051.645812	1.00885985	15.068617
2300	31441.84533	5941.594051	0.9905133034	15.717954
2400	31432.41751	6070.70473	1.012037131	16.383042
2500	31509.23681	5912.329973	0.9856347375	17.033383
2600	31510.90529	5906.508772	0.9846642947	17.719063
2700	31519.50289	5892.508575	0.9823303451	18.376361
2800	31632.38662	5857.99199	0.9765761424	19.01966
2900	31546.57854	6047.106339	1.008103082	19.672397
3000	31548.96643	5940.748586	0.9903723575	20.3617
3100	31560.34665	5954.075253	0.9925940239	21.029825
3200	31299.7946	5967.203651	0.9947826375	21.681192
3300	31432.05108	6007.811509	1.001552306	22.32795
3400	31308.74177	5970.917922	0.9954018375	22.979664
3500	31311.91095	6043.667133	1.007529738	23.639038
3600	31361.89477	6018.722189	1.003371208	24.293274
3700	31292.09196	6014.036561	1.002590074	24.940832
3800	31143.46203	6112.821327	1.019058319	25.590936
3900	31281.25451	5983.460382	0.9974927702	26.249468
4000	31201.27365	6075.357997	1.012812869	26.898827
4100	31197.06921	5976.72209	0.9963694408	27.54495
4200	31298.29024	5933.257413	0.9891235163	28.240123
4300	31073.46037	5908.39669	0.9849790265	28.892474
4400	31149.41944	6010.609647	1.002018779	29.543706
4500	31123.34147	6014.126732	1.002605107	30.203376
4600	31182.30455	5907.045273	0.984753734	30.911241
4700	31035.38103	5808.426623	0.9683131822	31.582578
4800	30991.87233	5918.201473	0.9866135656	32.232589
4900	31081.71222	5916.522057	0.986333593	32.880356
5000	31003.50041	6028.094456	1.004933643	33.527018
5100	31112.24412	5930.816856	0.9887166552	34.201566
5200	31018.60821	6058.849222	1.010060719	34.848707
5300	31038.09505	5999.249652	1.000124973	35.495407
5400	31037.83373	6008.487512	1.001665002	36.160529
5500	31098.2516	5935.261294	0.9894575801	36.812345
5600	31033.41204	5941.397438	0.9904805264	37.462746
5700	31044.02535	5989.786926	0.9985474578	38.172327
5800	31052.26629	6008.521502	1.001670668	38.83214
5900	31066.03908	5965.035647	0.9944212132	39.481574
6000	31113.43709	5951.317127	0.9921342214	40.135274
6100	30938.05407	6070.665936	1.012030664	40.779453
6200	31013.53082	6079.823952	1.013557381	41.494604
6300	31002.88844	6007.500753	1.001500501	42.150944
6400	31097.41709	5871.108242	0.978762731	42.798734
6500	30907.45781	5987.797002	0.998215721	43.454312
6600	30922.32648	5977.540487	0.9965058743	44.107612
6700	31006.60211	6021.289237	1.003799156	44.759127
6800	31050.97592	6016.304975	1.002968238	45.407327
6900	31006.64224	5916.631764	0.986351882	46.05455
7000	30991.01104	6008.702939	1.001700915	46.705464
7100	31026.95829	5972.369112	0.995643763	47.356954
7200	30896.41585	5922.675662	0.9873594501	48.026696
7300	30897.55135	5887.202406	0.9814457624	48.703928
7400	30802.24497	6031.410616	1.005486474	49.344506
7500	30845.94916	5840.836289	0.9737161439	49.992683
7600	30942.17815	5722.884345	0.9540525707	50.793879
7700	31017.56039	5910.754329	0.9853720645	51.495073
7800	30944.74875	5921.694911	0.9871959509	52.159442
7900	30874.56323	5830.875985	0.9720556781	52.806318
8000	30921.9176	5939.029325	0.9900857422	53.462682
8100	30944.72048	6006.153335	1.001275875	54.128316
8200	31074.57685	6020.681361	1.003697818	54.777487
8300	31009.66522	5976.921849	0.9964027422	55.434757
8400	30985.82059	6045.274448	1.007797691	56.091641
8500	30964.1065	6027.824495	1.004888638	56.732108
8600	30965.60116	5975.755845	0.9962083595	57.4135
8700	30892.39574	5889.086951	0.9817599318	58.060532
8800	31018.52656	5951.937649	0.9922376676	58.760209
8900	30899.84246	6063.272462	1.01079811	59.400459
9000	30972.39505	5940.392791	0.9903130434	60.036345
9100	30900.78208	5968.569908	0.9950104039	60.688925
9200	30870.08485	5975.540615	0.9961724789	61.348114
9300	31029.7612	5878.421506	0.9799819132	62.066195
9400	30887.41046	5984.012426	0.9975848006	62.70954
9500	31069.56412	5990.253318	0.9986252094	63.377021
9600	30976.15705	6123.1711	1.020783713	64.034173
9700	31124.2305	5926.703203	0.9880308749	64.684489
9800	30970.54141	5992.755035	0.9990422664	65.333511
9900	31103.67022	6031.465371	1.005495602	65.987886
